,company,title,location,criteria,description
68,Portal Telemedicina,Cientista de Dados (Bolsa Fapesp TT-V),"São Paulo, SP","Nível de experiência
Assistente
Tipo de trabalho
Tempo integral
Função
EngenhariaTecnologia da informação
Setores
Tecnologia da informação e serviços SoftwareInternet","Cientista de Dados (Bolsa Fapesp TT-V)

Job Description

Vaga - Cientista de Dados - Portal Telemedicina (Bolsa Fapesp TT-V)

Local: SP / São Paulo

Quem somos?

Trabalhe com propósito, gere impacto real na sociedade e ajude a salvar vidas conosco!

Somos uma startup vencedora de diversos prêmios de inovação e acelerada pelo Google, com uma missão de salvar vidas, permitir acesso universal à medicina de qualidade.

Somos disruptivos e comprometidos médicos e pacientes através da saúde digital de excelência. Permite que pacientes em locais remotos tenham acesso rápido aos resultados de exames com elogios feitos por uma equipe de especialistas da primeira.

Estamos em constante evolução e crescimento, por isso, buscamos pessoas de alta performance, com brilho nos olhos, que consigam atuar com autonomia e foco em resultados. Prezamos por um ambiente de trabalho amigável e nos preocupamos em ajudar nossos clientes.

Transparência, honestidade, flexibilidade e a busca pela evolução contínua são qualidades que precedem a formação do nosso tempo.

Por que precisamos de um cientista de dados e o que buscamos nele?

Buscamos um profissional com alto nível de domínio das ferramentas necessárias e algoritmos estatísticos, de preferência com domínio na área da saúde, pois suas decisões são de alto impacto para pacientes e gestores públicos do SUS e clínicas públicas. Um Portal Telemedicina disponível para esta vaga de bolsa TT-V da fapesp (ver valores e requisitos mínimos em: http://www.fapesp.br/3162e / 3098 ). Apesar da duração da bolsa ser 24 meses apenas, buscamos um profissional dedicado e competente que compartilhe o nosso ideal de salvar vidas para juntar-se à equipe de forma definitiva.

Como você vai atuar?
Será responsável pela pesquisa, desenvolvimento e utilização de sistemas, processos e métodos médicos de extração de conhecimento e insights em dados de saúde.
Revisão bibliográfica detalhada do projeto;
Projeto de estrutura: será responsável pela determinação de sistemas, processos e métodos científicos que usam no projeto, envolvimento ou estado da arte em epidemiologia (estatística em saúde), agrupamento, detecção de anomalias, reconhecimento de padrões e aprendizado profundo;
Análise de dados: foco no processo de inspeção de dados com o objetivo de descobrir informações úteis, sugerir uma ajuda e o processo de tomada de decisão de gestores e profissionais de saúde;
Inteligência empresarial: envolver-se coletar, organizar, compartilhar e monitorar a quantidade de informação necessária para usar as ferramentas de inteligência empresarial, assim como o suporte à gestão de negócios;

O que ofertas?

E, Mais

Desfrute dos benefícios de trabalhar em um ambiente produtivo e todo vapor, mas ao mesmo tempo flexível e descontraído de uma inicialização, no nosso escritório em São Paulo, na cidade especializada pela qualidade de vida que é armazenada.
Possibilidade de contratação no regime CLT, mediante apresentação de bons resultados
Oportunidade de trabalhar em um negócio com propósito e em constante crescimento
Capacitação com aceleradoras, oficinas etc)
Atuação em parceria com horários do Google, Governos e secretarias de Estado
Cultura de Feedback e desenvolvimento
E regalias como: código de vestimenta informal, flexibilidade de horários, confraternizações etc

Requirements

Habilidades Necessárias
Graduação em Ciência da Computação, Estatística, Matemática, Sistemas de Informação, Engenharia de Computação, Engenharia de Controle e Automação, ou áreas afins;
5 anos de experiência comprovada na carteira de trabalho após uma graduação em áreas afins ou Doutorado na área (Exigência da agência de fomento);
Alto nível de comprometimento e organização em seu processo de trabalho;
Conhecimento de técnicas e métodos de IA, tais como sistemas especialistas, lógica nebulosa, floresta aleatória e redes neurais;
Python (mínimo 1 ano): Uso de bibliotecas Pandas, Numpy;
Inglês intermediário;
Requisitos Desejáveis
Vivência específica na área de saúde ou trabalhando com dados de saúde / saúde coletiva / informática em saúde;
Familiaridade com Processamento de Linguagem Natural;
Processamento de Sinais e Sistemas Lineares;
Docker, TensorFlow, Hadoop, Django, Frasco;
Inglês Avançado, boa leitura e compreensão do idioma."
69,Ticket Log,Analista de Business Intelligence Pleno- Repom,"Barueri, SP","Nível de experiência
Júnior
Tipo de trabalho
Tempo integral
Função
Desenvolvimento de negóciosVendas
Setores
Tecnologia da informação e serviços Recrutamento e seleçãoRecursos humanos","Buscamos Alguém Que

Tenha experiência como Analista de BI que atue com a ferramenta Power BI, entre outras.

Você Será Responsável

Atuar na área de Business Intelligence apoiando a execução das atividades de rotina, apoiar e conduzir projetos conforme especificação das áreas demandantes.

Atividades

Liderar e conduzir projetos de baixa complexidade e apoiar o time de BI na entrega dos projetos (elaboração de ETL, Dashboards e Análises)

Atuar na resolução de chamados e demandas analíticas

Apoiar nas demandas adminstrativas da área

Buscar melhorias nos processos de Business Intelligente e Big Data da companhia.

E Irá Se Destacar Se

Experiência atuando com dados e gestão de indicadores ou 1 ano em área de BI;

Escolaridade (Concluído): Matemática, Engenharia, Ciencia e Gestão de Dados, Business Analytics, Big Data, Logística.

Idiomas: Inglês Básico

Conhecimentos Específicos: Excel Intermediário. SQL Intermediário, PowerBI/Qlik Básico, Banco de Dados

Perfil Analítico, Pró-ativo e Colaborativo

Facilidade de trabalhar com dados e bases relacionais

Flexibilidade/Adaptabilidade para atuar num ambiente dinâmico"
70,Gazeus Games,Python Developer - foco em dados,"Rio de Janeiro, RJ","Nível de experiência
Pleno-sênior
Tipo de trabalho
Tempo integral
Função
Tecnologia da informaçãoEngenharia
Setores
Jogos de computadorSoftwareTecnologia da informação e serviços","A área de ciência de dados da Gazeus busca um engenheiro de dados que “joga nas 11”.
Você é:
1) Graduado em Ciência da Computação, Engenharia da Computação, ou área de exatas afim.
2) Pessoa auto-ditada e pró-ativa que busque um ambiente de forte aprendizado e crescimento, com habilidade de trabalhar de forma colaborativa e realizar entregas confiáveis, mantendo o big-picture em mente.
 Você tem:
1) Experiência desenvolvendo software em nível de produção: confiável, modularizado e testado.
2) Mínimo de 2 anos de experiência profissional desenvolvendo em uma das seguintes: Python, C, C++, C#, Java, Scala Erlang, Clojure.
3) Experiência com manipulação de dados multi-dimensionais, em vários formatos e de várias proveniências.
4) Bom nível de inglês (leitura e escrita).
5) Disponibilidade para trabalhar full-time.
 Você vai trabalhar com:
 1) Aquisição, limpeza, organização, armazenamento, visualização e análise de dezenas de bilhões de pontos de dados.
2) Desenvolvimento de sistemas e workflows de aplicações para todo o pipe de dados da empresa.
Suas responsabilidades serão:
 - Atuar junto ao seu time para suprir as necessidades dos clientes internos, viabilizando decisões estratégicas e geração de insights que guiarão o resto da empresa.
- Manter e evoluir aplicações e processos que já estão em produção.
  Skills essenciais: Python, SQL
Nice to have: Tableau, Javascript, S3, Athena, EMR, Redshift, Glue, Spark, ELK, Java.
Bonus level: Airflow, alguma experiência profissional aplicando machine learning.
  Benefícios:
 - Plano de Saúde e Odontológico Bradesco - Vale refeição e alimentação acima da média
Outros benefícios: Snacks oferecidos pela empresa - Horário flexível - Day off no dia do aniversário, entre outros!
=)"
71,Laureate International Universities,Cadastro Reserva: Ciência de Dados,"Porto Alegre, RS","Nível de experiência
Assistente
Tipo de trabalho
Tempo integral
Função
Administração
Setores
Ensino superiorGestão educacionalRecursos humanos","Cadastro Reserva para Professor do Curso de Ciência de Dados

Requisitos Necessários

Desejável experiência como docente em educação superior;
Graduação completa em Ciência de Dados;
Titulação mínima: especialização completa."
72,Inovation IT Premium Outsourcing,Engenheiro de Dados,"São Paulo, SP","Nível de experiência
Assistente
Tipo de trabalho
Tempo integral
Função
Tecnologia da informação
Setores
Tecnologia da informação e serviços SoftwareSegurança de redes e computadores","Oportunidade Incrível para Atuar em Empresa Totalmente Digital !

Segmento de Atuação : Meios de Pagamentos

Período : Indeterminado

Tipo de Contratação : Prestador de Serviço

Local : Pinheiros

Inicio : Imediato

Responsabilidades e atribuições

Construir, avaliar e executar scripts de atualização de dados de forma performática
Garantir as melhores práticas em relação a modelagem e persistência de dados
Ser um profundo conhecedor do modelo/regras de negócio para garantir a governança da informação
Ser a cola entre desenvolvedores, administradores de dados, cientistas de dados, equipe de infra e Product Owner, a fim de criar soluções de dados
Catalogar os produtos e serviços
Garantir a integração dos dados para possibilitar o cruzamento de informações e acompanhamento de métricas
Garantir que as políticas de segurança estão sendo aplicadas na camada de acesso aos dados
Fomentar a utilização de técnicas de automação para provisionamento, configuração e monitoramento dos ambientes de banco de dados

Requisitos e qualificações

Superior completo em Tecnologia da Informação, Engenharia da Computação, Ciência da Computação ou áreas correlatas
Experiência em Ambientes de Alta Criticidade
Conhecimento em SQL
Conhecimentos em modelagem de dados relacional e não relacional
Experiência em banco de dados Oracle e MySQL
Conhecimento de tuning de queries
Cultura DevOps (fazer parte de um time DevOps e aprender outras tecnologias de persistência de dados)
Inglês intermediário

Informações adicionais

Desejáveis

Experiência em banco de dados NoSQL
Experiência com ferramentas de ETL e integração de dados
Conhecimento em ferramentas para gestão de dados (ciclo de vida de dados, replicações de dados real time, mascaramento de dados)
Conhecimento de sistemas distribuídos e aplicações web"
73,"ePharma - Inovação, Integração e Cuidado em Saúde",Analista de Business Intelligence,"Barueri, SP","Nível de experiência
Júnior
Tipo de trabalho
Tempo integral
Função
Desenvolvimento de negóciosVendas
Setores
Tecnologia da informação e serviços Recrutamento e seleçãoRecursos humanos","Job Description

Transformar as fontes de dados e informações em relatórios acessíveis, facilitando a tomada de decisão dos gestores da empresa, bem como o crescimento do negócio. Apoiar e conduzir projetos conforme especificação das áreas demandantes.

Main responsibilities

O Que Irá Fazer
Estruturação de bases e mineração de dados (utilizando Excel, Power BI, SQL Server e/ou ferramentas de BI) para a realização de análises, geração de informações e criação de novas plataformas de BIs para os clientes da empresa;
Entender a necessidade real do cliente para criar e automatizar os dashboard/visões/análises;
Auxiliar a equipe de TI no levantamento e apontamento de melhorias, processos, correções e ajustes tanto na plataforma de BI quanto nas outras plataformas relacionadas aos Programas de Suporte ao Paciente (site, CRM, integrações com terceiros e entre outros).

Requirements And Skills

O que precisa ter:
Graduação completa em Engenharias, Ciência da Computação, Administração e cursos correlatos (área de exatas);
Necessário ter experiência com análises e modelagem de dados, Business Intelligence e atendimento ao cliente.
Ter conhecimento em Linguagem SQL e Excel Avançado.
Inglês Intermediário.
Conhecimento na ferramenta. PowerBI será um diferencial.
Desejável vivência em mapeamento de processos e levantamento de requisitos.
Ter senso de dono.
Perfil analítico, crítico e pró ativo.
Vivência na área da saúde e/ou no ramo farmacêutico será um diferencial

Additional information

Nosso escritório fica em Alphaville, Barueri.

Benefícios: Assistência médica; Assistência odontológica; Auxílio academia; Auxílio creche; Auxílio farmácia; Seguro de vida; Vale-refeição; Vale-transporte e home office.

Transformando Vidas

Somos a ePharma e queremos que você conheça mais sobre nós:

Desde 1999 trazemos soluções inovadoras para a gestão da saúde. Para executar esta tarefa com eficiência é importante ter visão abrangente e propor soluções que integrem os sistemas envolvidos como a indústria, laboratórios, governos, operadoras de saúde, redes de serviços e farmácias. Ter relevância em um segmento tão importante para o país significa levar saúde e qualidade de vida para as milhões de brasileiros.

Nossa equipe multidisciplinar é um dos pilares do nosso negócio. Somos gente cuidando de gente. Por isso, a atenção aos nossos colaboradores é mais do que fundamental: é estratégica para o nosso crescimento.

Nossa política de RH se baseia em valores e desempenho, com diretrizes de transformação das pessoas e da empresa. Integramos talentos para habilitá-los à liderança e autonomia, ao mesmo tempo em que estimulamos o trabalho Co participativo, olhando para o futuro da empresa.

Se você sonha em trabalhar em uma equipe multidisciplinar, em um ambiente dinâmico e flexível que promove autonomia e trabalho co participativo aos colaboradores, faça parte do nosso time e nos ajude a Transformar Vidas! #vempraePharma"
74,Oxiteno,Analista de Tecnologia da Informação Pleno,São Paulo e Região,"Nível de experiência
Pleno-sênior
Tipo de trabalho
Tempo integral
Função
AnalistaTecnologia da informação
Setores
Indústria química","Principais Responsabilidades:

Realizar especificação de soluções em tecnologia, com base em informações captadas em entrevistas com os stakeholders.Definir escopo, abrangência e interfaces das soluções com os processos envolvidos e com as necessidades organizacionais;
Apoiar na identificação de infra-estrutura (rede, banco de dados, hardware e software), avaliando facilidades e possíveis impactos da implantação/melhoria de sistemas;
Captar com detalhes as necessidades funcionais das áreas de negócio, conduzindo-as para aprovação/analise dos coordenadores de TI. Apoiar coordenadores de TI na priorização de projetos e demandas;
Sustentar funcionalmente os sistemas implementados na Oxiteno responsabilizando-se pelo atendimento de chamados registrados na ferramenta de suporte;
Apoiar na manutenção dos KPIs de sustentação através do atendimento dos chamados dentro do SLA estipulado em cada fila;
Direcionar para solução definitiva, e acompanhar a correção dos problemas recorrentes que sejam identificados nas atividades de sustentação de sistemas;
Apoiar, fomentar e contrubir para a criação e manutenção da base de conhecimento de sustentação dos sistemas Oxiteno;
Apoiar na passagem de conhecimento para atendimento nível 1 de chamados dos sistemas Oxiteno;
Apoiar na identificação de infra-estrutura (rede, banco de dados, hardware e software), avaliando facilidades e possíveis impactos da implantação/melhoria de sistemas;
Apoiar a Coordenação de TI na elaboração do Orçamento Anual;
Promover benchmarketing interno/externo para garantir a melhor solução para um projeto ou demanda;
Organizar e/ou ministrar, junto à área de Recursos Humanos ou área Administrativa (nas Unidades Industriais), treinamentos internos, visando capacitar usuários da Companhia para a operação de sistemas em implantação. 

Requisitos Obrigatórios:

Ensino Superior Completo em Sistemas de Informação, Ciência da Computação ou cursos de tecnologia;
Experiência prévia na área de sustentação de sistemas integrados no segmento químico ou industrial;
Experiência em atendimento de chamados (2º e/ou 3º Nível);
Inglês Intermediário.

Requisitos Desejáveis:

Pós-graduação em Tecnologia e/ou Gestão de Projetos;
Inglês Avançado;
Espanhol Intermediário / Avançado;
Experiência em um ou mais sistemas (PLM, LIMS, Oracle EBS);
Experiência em processos de fechamento financeiro;
Experiência com Gestão de Projetos;
Experiência com Metodologias Ágeis."
75,PagSeguro PagBank,Especialista Data & Analytics,"São Paulo, SP","Nível de experiência
Assistente
Tipo de trabalho
Tempo integral
Função
Outro
Setores
Tecnologia da informação e serviços SoftwareInternet","Job Description

Se você busca desenvolver uma carreira desafiadora e tem a intenção de integrar uma equipe dinâmica e em constante aprimoramento, queremos conhecê-lo!

Procuramos pessoas talentosas, inovadoras, capazes de lidar com pressões e trabalhar em equipe. Aqui você poderá propor ideias e soluções e com comprometimento e energia desenvolver sua carreira profissional.

Main responsibilities

Desenvolvimento de soluções com grandes volumes de dados, seja offline ou real time;
Ajudar na expansão da Plataforma Analítica, com foco em Self-Service Analytics e ferramental Big Data;
Levantamento de requisitos junto a área de negócios;
Criação de modelos de dados analíticos e indicadores, e desenho e desenvolvimento de ETL;
Garantir políticas de segurança para acesso aos dados;
Fomentar a utilização de técnicas de automação para provisionamento, configuração e monitoramento dos ambientes analíticos;
Acompanhar e administrar SLAs de entrega de dados e análises para usuários;
Ter conhecimento de modelos/regras de negócio para garantir a governança da informação;
Atualizar e acompanhar indicadores de disponibilidade e processamentos de dados nas ferramentas de D&A;
Analisar e corrigir eventuais problemas na execução de cargas de dados.

Requirements And Skills

Superior completo em Tecnologia da Informação, Engenharia da Computação, Ciência da Computação ou áreas correlatas;
Garantir a preparação dos dados;
Experiência em Ambientes de Alta Criticidade e Alta Volumetria;
Conhecimento em SQL;
Conhecimento de tuning de queries;
Construção e otimização de ETL;
Criação de modelos de dados e indicadores.

Conhecimento Esperado

Conhecimentos avançados em SQL;
Experiência com modelagem dimensional de dados e desenvolvimento de ETL;
Experiência com ferramentas de Data Visualization como Power BI;
Experiência com levantamento de requisitos;
Conhecimentos avançados em programação (preferencialmente Python);
Conhecimentos em otimização de performance em processos Spark;
Experiência com tecnologias como: Apache Airflow, Spark, Kafka, AWS (Redshift, EMR, S3, Glue, Hive e Athena) e Pentaho.

Additional information

Local de Trabalho: São Paulo - Avenida Brigadeiro Faria Lima (próximo à estação Faria Lima do Metrô)

SOBRE NÓS

Nascemos em 2006 com o propósito de revolucionar o mercado de meios de pagamento e promover soluções inovadoras em serviços financeiros. Foi com a gente que os consumidores passaram a comprar e vender – dentro e fora da internet – de forma rápida, simples e segura. Acreditamos tanto no potencial da tecnologia, que criamos o PagBank, um banco digital, que visa democratizar os serviços financeiros no Brasil.

Hoje somos gigantes e seguimos impactando a vida de milhões de pessoas diariamente, oferecendo serviços rápidos, simples e seguros.

Tudo isso só possível, pois aqui, no PagSeguro PagBank, a pesquisa e a inovação fazem parte do nosso DNA, compartilhamos experiências com profissionais talentosos e criativos, em um ambiente colaborativo, onde o aprendizado é garantido.

Quer fazer parte dessa história? Confira nossas vagas e #vemproPags.

NOSSAS REDES
Website
LinkedIn
Facebook
Instagram
Glassdoor"
76,Braspag,Analista de Banco de Dados Pleno,"Niterói, RJ","Nível de experiência
Assistente
Tipo de trabalho
Tempo integral
Função
Tecnologia da informação
Setores
Tecnologia da informação e serviços SoftwareServiços financeiros","Salário: Salário a combinar

Horário: Segunda a sexta, 9h00 às 18h00

Contratação: Efetivo – CLT

Nível: Profissional

Descrição
Manter a disponibilidade dos bancos de dados de acordo com as necessidades do negócio visando a maior conversão dos clientes
Desenvolver soluções que ajudem a entregar o tempo de resposta esperado de forma a manter a competitividade e a melhor experiência para o usuário
Requisitos
Formação superior completa em Ciência da Computação ou Engenharia da Computação
Experiência com banco de dados SQL Server em ambientes de alta-disponibilidade, tuning e modelagem
Conhecimento de sistemas de banco de dados
Experiência em Administração de SQL Server, Tuning de SQL Server, Alta-Disponibilidade com SQL Server, Sistemas OLTP/OLAP, Windows Server, Topologia de Redes
Inglês Técnico
Benefícios: Assistência odontológica, Auxílio academia, Benefícios internos, Seguro de Vida, Vale-alimentação, Vale-refeição, Vale-transporte"
77,Neoris,Data Modeler Consultant - Rio de Janeiro,"Niterói, RJ","Nível de experiência
Assistente
Tipo de trabalho
Tempo integral
Função
Desenvolvimento de negóciosVendas
Setores
Tecnologia da informação e serviços Indústria químicaConsultoria de gerenciamento","Data Modeler Consultant - Rio de Janeiro

Date: Apr 17, 2020

Location:RIO DE JANEIRO, BR

Company: NEORIS

NEORIS é um acelerador digital que ajuda as empresas a entrar no futuro.

Combinamos um profundo conhecimento do setor com a mais alta experiência tecnológica do mercado para criar soluções personalizadas que permitem superar os desafios de negócios e gerar crescimento disruptivo.

Temos 20 anos de experiência como Parceiros Digitais em algumas das maiores empresas do mundo. Nossos clientes são de setores como serviços financeiros, manufatura, telecomunicações e saúde. Também possuímos clientes no agronegócio, serviços públicos e materiais de construção.

Somos mais de 4000 profissionais em 11 países, incluindo México, EUA, Espanha e Argentina. Temos uma cultura de inicialização multicultural, onde cultivamos a inovação, o aprendizado contínuo para criar soluções de alto valor para nossos clientes.

Data Modeler Consultant

Atualmente na NEORIS, estamos procurando Data Modeler Consultantpara trabalhar em grandes projetos. Orientamos a pesquisa para uma pessoa proativa, acostumada a trabalhar em equipe, com orientação marcada para o cliente e boas habilidades de comunicação.

Na NEORIS, estamos vivendo uma transformação digital e precisamos de consultores apaixonados por tecnologias digitais.

Requisitos

Bacharel em ciência da computação, matemática ou métodos quantitativos, experiência em manipulação de dados, limpeza e modelagem
Experiência em SQL necessário.
Usuário de Oracle, SQL Server, NoSQL Database ou equivalente, Diferencial: Snowflake Cloud Data Platform.
Linguagens: Estruturado(ANSI SQL) e semiestruturado (AVRO, JSON, XML e outros).
Compreensão dos dados e como eles se relacionam para a criação de um modelo de dados em datawharehouse
Excelentes habilidades analíticas são essenciais.
O indivíduo deve possuir excelentes habilidades de comunicação escrita e oral.
Ótimo trabalho em equipoInglês Fluente

Ofercemos

Crescimento profissional
Ambiente de trabalho dinâmico
Salário competitivo
Plano de benefícios atraente
Lei e maiores benefícios
Oportunidades de desenvolvimento

Para mais informação, acesse http://www.neoris.com, Facebook, LinkedIn, Twitter ou Instagram @NEORIS.

MARIA BELEN BECKER

Job Segment: Consultant, Consulting, Database, Telecom, Telecommunications, Technology, Contract"
78,Goowit,PSICOLOGIA VIVA - PSY ALIVE | Head de Business Intelligence - BI,"Belo Horizonte, MG","Nível de experiência
Pleno-sênior
Tipo de trabalho
Tempo integral
Função
MarketingEstratégia/Planejamento
Setores
Atendimento médico e hospitalarAtendimento médico psiquiátricoSaúde, bem-estar e educação física","Description

Esta é uma vaga de um cliente do Goowit, candidate-se para ter acesso as informações completas sobre a empresa.

No Psicologia Viva você irá trabalhar em uma startup líder em seu mercado, e com desafios diários e metas desafiadoras.
Modelagem e criação/manutenção de processos de extração, transformação e carregamento de dados (ETL);
Desenvolvimento em conjunto com o cliente e com as equipes internas de dashboards em plataforma de BI;

Requisitos
Que você tenha cursado Ciência da Computação, Sistemas da Informação, Engenharias ou relacionados;
No mínimo 4 anos na área de BigData e Analytics;
Experiência com plataformas de B.I. (Tableau, preferencialmente - PowerBI, Qlik Sense);
Experiência com bancos de dados relacionais e não relacionais;
Experiência com modelagem dimensional;
Participação das tomadas de decisões em relação aos processos e tecnologias que adotamos;
Capacidade de trabalhar na evolução da arquitetura de nossos sistemas;
Muita vontade e facilidade para aprender e ensinar;
Capacidade de lidar com clientes para levantamento de requisitos, desenvolvimento e entrega de projetos;

Benefícios
Trabalhar na empresa que está transformando a saúde mental na América Latina;
Flexibilidade de horários;
No dress code (utilize a roupa que lhe caia bem);
Programa de bem-estar emocional.
HABILIDADES

Inteligência de Negócios, Big Data Analytics, Tableau, Power BI, Qlik Sense, Modelagem Dimensional, Arquitetura do Sistema"
79,Liv Up,Data Scientist,"São Paulo, SP","Nível de experiência
Assistente
Tipo de trabalho
Tempo integral
Função
EngenhariaTecnologia da informação
Setores
Marketing e publicidadeSoftwareInternet","A Liv Up é a startup que está construindo a alimentação do nosso tempo com o apoio da Kaszek Ventures, da Endeavor Catalyst, Spectra Investments e Thorn Tree Capital Partners. Somos digitais, temos controle total da cadeia produtiva, desde formar parcerias com produtores orgânicos, criar e desenvolver receitas até o desenvolvimento do nosso site e aplicativo. Tudo isso com o compromisso de gerar impacto positivo do campo ao consumidor final.

Já somos mais de 450 livupers, estamos em mais de 30 cidades no Brasil e crescendo a cada dia. Por isso, estamos em busca de talentos. Acreditamos na igualdade de oportunidades, e o único ingrediente que não pode faltar é o alinhamento com nossos valores. Bora?

Nosso time de Dados

Utilizando nossa plataforma de dados, nosso time constrói produtos que utilizam algoritmos de machine learning e otimização de restrições para encantar nossos clientes com experiências personalizadas e aumentar a escalabilidade de nossas operações. Capturando dados em todas as etapas do processo produtivo, da relação próxima com produtores familiares ao processo de pós vendas, possuímos dados completos e integrados de nossos fluxos. Ao desenvolver esses produtos, maximizamos a vantagem competitiva que esse modelo verticalizado promove.

Acompanhe o que estamos construindo https //medium.com/liv-up-inside-the-kitchen

Suas responsabilidades e desafios serão
Formular problemas de negócio de forma objetiva, conectando técnicas de modelagem preditiva e de otimização com os desafios da Liv Up.
Desenvolver e colocar em produção modelos preditivos e de otimização, assim como estruturar a avaliação e monitoração contínua das métricas de performance.
Participar ativamente na concepção e arquitetura dos serviços que farão uso dos modelos e algoritmos em produção.


Aqui você terá
A oportunidade de estar em uma empresa de alto impacto que afeta positivamente a vida das pessoas em todos os momentos da sua alimentação.
Uma cultura que sempre tenta capacitar seus membros, tornando-os responsáveis pela sua carreira.
Uma equipe horizontal e transparente, que não apenas valoriza suas ideias, mas também espera que você faça parte da construção da empresa com a gente.


Local de trabalho

Essa posição é para o nosso escritório em São Paulo, próximo às estações de Metrô Faria Lima & Pinheiros.

Requirements
Capacidade de compreender, formular e modelar problemas de negócio, conectando os desafios dos times com técnicas de ciência de dados.
Conhecimentos profundos sobre modelos e algoritmos de Machine Learning.
Proficiência e disciplina com programação em Python, capacidade de desenvolver código limpo e organizado.
Mindset de desenvolvimento ágil, focando na entrega de valor e melhorias incrementais.
Facilidade de comunicação e de adaptar a linguagem conforme o nível técnico do ouvinte.
Atitude pró-ativa e “mão na massa""


Benefits
Vale refeição ou alimentação
Plano de saúde e odontológico
Seguro de vida
40% de desconto nos produtos Liv Up, mais um valor bônus para gastar mensalmente em nosso escritório
Vale transporte
Gympass
Ambiente divertido, informal e acelerado
Happy hour mensal
Aulas semanais Yoga no terraço do nosso escritório e corridas pela região de Pinheiros."
80,Portal Telemedicina,Cientista de Dados - (Bolsa Softex - Saúde),"Florianópolis, SC","Nível de experiência
Assistente
Tipo de trabalho
Tempo integral
Função
EngenhariaTecnologia da informação
Setores
Tecnologia da informação e serviços SoftwareInternet","Cientista de Dados - (Bolsa Softex - Saúde)

Job Description

Vaga - Cientista de Dados - Portal Telemedicina(Bolsa Softex Saúde)

Local: Florianópolis/SC

Quem somos?

Trabalhe com propósito, gere impacto real na sociedade e ajude a salvar vidas conosco!

Somos uma Startup vencedora de diversos prêmios de inovação e acelerada pelo Google, com a missão de salvar vidas, garantindo o acesso universal à medicina de qualidade.

Nós somos disruptivos e empoderamos médicos e pacientes através da saúde digital de excelência. Permitimos que pacientes em locais remotos tenham acesso rápido aos resultados de exames com laudos feitos por uma equipe de especialistas de primeira.

Estamos em constante evolução e crescimento, por isso, buscamos pessoas de alta performance, com brilho nos olhos, que consigam atuar com autonomia e foco em resultados. Prezamos por um ambiente de trabalho amigável e nos preocupamos verdadeiramente em ajudar nossos clientes.

Transparência, honestidade, flexibilidade e a busca pela evolução contínua são qualidades que prezamos na formação do nosso time.

Por que precisamos de um Cientista de Dados e o que buscamos nele?

Buscamos um profissional da área de saúde com Graduação e dez anos de experiência comprovável, ou Mestrado e seis anos de experiência comprovável, ou Doutorado e dois anos de experiência comprovável com muita vontade de aplicar seus conhecimentos teóricos à prática e com vontade de migrar para área tecnológica, esse profissional vai nos ajudar a avançar em nossos esforços de saúde digital e a levar medicina de qualidade aos que mais precisam.
O profissional deverá conduzir pesquisa e utilização de sistemas, processos e métodos científicos de inteligência artificial para detecção de nódulos.Este papel será fundamental para atuarmos de maneira cada vez mais estratégica, e crescermos de forma mais estruturada.

Nosso mais recente projeto de pesquisa aprovado pela SOFTEX é motivo de muito orgulho para nosso time, pois com o seu desenvolvimento conseguiremos ajudar mais pacientes e profissionais de saúde, principalmente na detecção a evolução dos tratamentos oncológicos.

Queremos crescer muito e rápido. Este é o nosso panorama para os próximos meses. Já estamos em mais de 300 cidades e todos os estados brasileiros incluindo o DF e vamos avançar para novas fronteiras. O Cientista de dados será fundamental para avançarmos em Saúde Digital e levarmos Medicina de qualidade aos locais mais remotos e que mais precisam.

Como você vai atuar?
Co-responsável por pesquisa de algoritmos de inteligência artificial para estruturação de laudos e para detecção de nódulos cancerígenos.
Co-responsável por desenvolvimento e utilização de sistemas, processos e métodos científicos de inteligência artificial para detecção de nódulos cancerígenos.
Auxílio à construção de interfaces de interoperabilidade entre sistemas.
Cooperação com profissionais de tecnologia para extração, transformação, limpeza e curadoria de dados.
Apoio à implantação de sistemas de inteligência artificial na prática clínica.

O que oferecemos?

E, Mais

Desfrute dos benefícios de trabalhar em um ambiente produtivo e a todo vapor, mas ao mesmo tempo flexível e descontraído de uma Startup, em nosso escritório em Florianópolis, cidade reconhecida pela qualidade de vida que proporciona.
Possibilidade de contratação no regime CLT mediante apresentação de bons resultados
Oportunidade de trabalhar em um negócio com propósito e em constante crescimento
Cursos e aperfeiçoamento constante (Capacitação com aceleradoras, workshops etc)
Atuação em parceria com times da Google, Governos e Secretarias de Estado
Cultura de Feedback e desenvolvimento
E perks como: dress code informal, flexibilidade de horários, confraternizações etc

Habilidades Necessárias
Experiência comprovável em oncologia diagnóstica (técnico, graduação, mestrado, doutorado ou produção científica na área, entre outros)
Experiência comprovável em imagens radiológicas
Experiência comprovável em análise, banco, ciência, mineração ou processamento de dados

Requisitos Desejáveis
Experiência em inteligência artificial
Programação em python

Requirements

Habilidades Necessárias
Experiência comprovável em oncologia diagnóstica (técnico, graduação, mestrado, doutorado ou produção científica na área, entre outros)
Experiência comprovável em imagens radiológicas
Experiência comprovável em análise, banco, ciência, mineração ou processamento de dados
Requisitos Desejáveis
Experiência em inteligência artificial
Programação em python"
