,company,title,location,criteria,description
65,Lantha Sensors,Associate Scientist,"Austin, TX","Seniority level
Entry level
Employment type
Full-time
Job function
ResearchTraining
Industries
Chemicals","Position: Associate Scientist I
About Us:
LanthaSensors is seeking to hire an Associate Scientist at its R&D Lab in Manor TX. LanthaSensors is an Austin TX based company specializing in the design and synthesis of low-cost, point-of-use chemical sensor materials and technology platforms for use in the field to rapidly detect and quantify trace chemical impurities. Please visit www.lanthasensors.com/careers for more information.

Your Role:
In this role you will be responsible for the synthesis and characterization of small organic compounds and inorganic polymer materials for use in chemical identification and trace chemical detection studies. The Associate Scientist will report to a more senior scientist or project manager to provide accurate and pertinent scientific data in accordance with agreed upon methods, project schedules, procedures, and techniques.
The Associate Scientist will, under guidance from a senior scientist, gather and interpret data on the emission characteristics of the synthesized polymers under various conditions. The Associate Scientist is expected to work as part of the Technology Development Team to use this data and literature reviews to identify new opportunities for the application of materials in potential products. Additionally, the Associate Scientist will, at times, supervise interns who are currently studying at university.

Responsibilities:
Work closely with senior scientists to perform lab experiments as planned and thoroughly document all relevant data and observations.
Lead, supervise and provide on-the-job training to junior staff/interns on specific technical tasks such as proper laboratory techniques and instrument operation.
Review Standard Operating Procedures alongside senior scientists to ensure the safest possible working environment.
Solve technical problems on projects with assistance from senior staff.
Prepare phosphine-based organic linkers for use in inorganic crystal growth.
Synthesize and characterize metal-organic framework materials.
Analyze and interpret data, presenting findings to senior research team members.
Collaborate with other R&D team members to troubleshoot and identify new opportunities for optimization, applications, or products.

Minimum Qualifications:
B.S. in Chemistry or other related science discipline
1+ years laboratory experience

Preferred Qualifications:
Master’s degree in Chemistry or other related science discipline
2+ years laboratory experience
Knowledge of electronic spectroscopy, particularly the photoluminescent properties of the lanthanides
Knowledge of common characterization techniques used to identify small organic molecules (e.g. FT-IR, NMR, GC-MS…)
Knowledge of common characterization techniques used in the field of crystalline solids (e.g. PXRD, SCXRD, SS-NMR…)
Experience with air-free chemical synthesis
Demonstrated motivation, ability to learn new techniques, and to collaborate well with others
Demonstrated ability to effectively manage your time and to manage multiple projects.
Excellent written and verbal communication skills
Demonstrated history of creative problem solving

How to apply:
Apply through LinkedIn or email sam@lanthasensors.com with the job title as the subject and the following attached:
Cover letter
Resume/CV"
66,GQR Global Markets,Data Scientist,New York City Metropolitan Area,"Seniority level
Associate
Employment type
Full-time
Job function
FinanceAnalystEngineering
Industries
Financial ServicesCapital MarketsInvestment Banking","My organization, GQR is looking for a savvy Data Scientist to within the finance industry with a top tier client,

We are looking for Ph.D. Data Scientists w/ minimum of 3 years of experience who are looking to be in the finance industry working on statistical and quantitative analysis for strategies.

We are looking for individuals with Top Tier internships and a minimum of 3 years experience working on in-depth analysis.
Must have experience working on new data sets, researching potential ""alpha signals"" and automating data collection and infrastructure.

This individual needs to have experience working on:
1. SQL, TSQL, SQL Servier or PL-SQL
2. Experience with working on data sets with the goal of generating potential ""Alpha Signals""
3. MUST have programming experience Python and either C#, C++ or Java
4. Must have a higher degree from a Top Tier school
5. Must have a degree in Statistics, Applied Mathe, Finance, Economics or related field.

This is an opportunity for a reputable organization that values data and higher thinking."
67,Smith Hanley Associates,Data Scientist,"Washington, DC","Seniority level
Mid-Senior level
Employment type
Full-time
Job function
MarketingAnalystConsulting
Industries
SportsEntertainmentOnline Media","Title: Sports Data Scientist
Location: Washington, DC
Salary: $100,000 - 150,000
Contact: Paul Chatlos, pchatlos@smithhanley.com

Rapidly growing sports and entertainment organization seeks a Data Scientist to join their high caliber team

-Develop and deploy predictive models/algorithms in the field of sports
analytics
-Research new methods to develop and improve sophisticated predictive
models, staying adept with the latest research and techniques in the field
-Analyze various data sets to identify statistically significant patterns and
extract predictive features
-Collaborate with a team of data scientists and engineers

Sport Data Scientist Requirements:

-A passion for sports
-Proficiency with R and/or Python
-Experience with SQL queries
-Skilled in a variety of statistical modeling and machine learning techniques
-PhD or Masters in Statistics, Machine Learning, Mathematics, Computer
Science, Econometrics or similar degree preferred, but not required
-Experience building models in a cloud-based ecosystem preferred, but not
required
-Sports analytics experience preferred, but not required"
68,Ubisoft,Junior Data Scientist - VIE San Francisco,"San Francisco, CA","Seniority level
Entry level
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
Primary/Secondary EducationHigher EducationEducation Management","Company Description

Ubisoft is committed to enriching players' lives with original & memorable entertainment experiences. We build worlds that are a playground for the imagination, offering moments of surprise, fun and adventure as well as opportunities for learning and self-discovery.

At Ubisoft, you'll grow and collaborate with highly talented teams from around the world. Our massively friendly work environment will inspire you to go above and beyond to create worlds people will fall in love with.

Job Description

Please note that VIE is a very specific type of contract for European citizens, please check you eligibilty here before applying:
Anyone aged over 18 and under 28 at the time they register can apply to be an international intern. The latest your assignment can start is on the day of your 29th birthday. No exceptions can be made.
You must have French or European nationality (i.e. be a national of a Member State of the European Economic Area, which includes the 28 Member States of the European Union including Norway, Iceland, Lichtenstein and Monaco).

In an established team based in San Francisco, you will get to influence how we work with data science as you generate insights that are actively put to use.
Be Advised
As an intern, the whole audience management team will support you to grow your skills and help you to put your theoretical knowledge into action.
Personalized topic of learning
Within audience management, we are running several research projects on a large scope: social media, CRM, in-game… Pending on your background and your academic requirements, we will adapt the topic.
Full stack scientist
Even if you are an intern, you will be considered as a scientist and so, you will get access to a large panel of tools corresponding to different steps of the analysis. The most commons will be HiveQL for data extraction, Spark and Python for data analysis and Tableau for data visualization.

To summarize: at the end of your VIE (1.5 years), you will be able to run a complete study by yourself.

Daily activities in the Data Science team

To give you an idea of the past and current projects, please find below a non-exhaustive sample of our daily activities.
Contribution to the customer engagement
The CRM data are composed of millions of players, who they are, what they played split in two databases on Hadoop, the other on Teradata. We have built different models which permit to cluster players for emailing campaign, to select players for betas or to improve the queue of the customer service.
Contribution to the brand vision
The brand teams are always eager to know better their players. To do so, we are using the YouTube public data stored into our Hadoop to extract trends based on the available meta-data at user level. We are also using the game tracking data, hundreds of billions of events per game, to know their game behaviors and hence help to shape the Brand vision.
Contribution to the marketing performance
The data science team is building the tools for monitoring the daily user acquisition: cost per acquisition, lifetime value and other measure of the player quality such as the addressability funnel.
Contribution to the executive management topics
The data science team have a close relationship with the executive management and we are often asked to quickly present an analysis about a hot topic.

Qualifications

Qualifications:
Master in computer science, mathematics or related fields
Proficiency in at least one programming language, preferably R or Python
Knowledge of SQL
Knowledge of data visualization
Strong interest in the gaming industry
Excellent communication and interpersonal skills
Speak and write English fluently

Additional Information

Ubisoft is committed to creating an inclusive work environment that reflects the diversity of our player community. We are an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to their race, ethnicity, religion, gender, sexual orientation, and age or disability status."
69,Tiger Analytics,Data Scientist,"Atlanta, GA","Seniority level
Associate
Employment type
Full-time
Job function
Analyst
Industries
Information Technology and ServicesComputer SoftwareManagement Consulting","Tiger Analytics is looking for an experienced Data Scientist to join our fast-growing advanced analytics consulting firm. Our consultants bring deep expertise in Data Science, Machine Learning and AI. We are the trusted analytics partner for multiple Fortune 500 companies, enabling them to generate business value from data. Our business value and leadership has been recognized by various market research firms, including Forrester and Gartner. We are looking for top-notch talent as we continue to build the best global analytics consulting team in the world.

As a Data Scientist, you will apply strong expertise in AI through the use of machine learning, data mining, and information retrieval to design, prototype, and build next generation advanced analytics engines and services. You will collaborate with cross-functional teams and business partners to define the technical problem statement and hypotheses to test. You will develop efficient and accurate analytical models which mimic business decisions and incorporate those models into analytical data products and tools. You will have the opportunity to drive current and future strategy by leveraging your analytical skills as you ensure business value and communicate the results.

Key Responsibilities
Collaborate with business partners to develop innovative solutions to meet objectives utilizing cutting edge techniques and tools.
Effectively communicate the analytics approach and how it will meet and address objectives to business partners.
Advocate and educate on the value of data-driven decision making; focus on the “how and why” of solutioning.
Lead analytic approaches; integrate solutions collaboratively into applications and tools with data engineers, business leads, analysts and developers.
Create repeatable, interpretable, dynamic and scalable models that are seamlessly incorporated into analytic data products.
Engineer features by using your business acumen to find new ways to combine disparate internal and external data sources.
Share your passion for Data Science with the broader enterprise community; identify and develop long-term processes, frameworks, tools, methods and standards.
Collaborate, coach, and learn with a growing team of experienced Data Scientists.
Stay connected with external sources of ideas through conferences and community engagements.


Requirements
Bachelors Degree in Data Science, Computer Science, Engineering, Statistics and 5+ years of Data Science experience required
Proficiency in Python or R and in writing complex SQL queries
Proficiency with Machine Learning concepts and modeling techniques to solve problems such as clustering, classification, regression, anomaly detection, simulation and optimization problems on large scale data sets. Ability to implement ML best practices for the entire Data Science lifecycle
Ability to apply various analytical models to business use cases (NLP, Supervised, Un-Supervised, Neural Nets, and more)
Exceptional communication and collaboration skills to understand business partner needs and deliver solutions
Bias for action, with the ability to deliver outstanding results through task prioritization and time management
Experience with data visualization tools — Tableau, R Shiny etc preferred


Benefits

This position offers an excellent opportunity for significant career development in a fast-growing and challenging entrepreneurial environment with a high degree of individual responsibility."
70,Starcom,Data Scientist,"Chicago, IL","Seniority level
Mid-Senior level
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
Marketing and AdvertisingInternetFinancial Services","Company Description

Starcom is a world-renowned media communications agency that architects connected human experiences to create value through precision marketing, content and technology solutions. With more than 5,000 employees worldwide, Starcom partners with the world's leading marketers and new establishment brands, including Airbnb, Bank of America, Kellogg Company, Kraft Heinz, Novartis, Samsung, Visa and more. Starcom is part of Publicis Media—the global media solutions group which also encompasses Zenith, Mediavest | Spark and Optimedia | Blue 449—a key division of Publicis Groupe [Euronext Paris FR0000130577, CAC40], one of the world’s leading communications groups.

Job Description

The Data Scientist will contribute to the ideation, design, development, and deployment of end-to-end analytics applications and solutions. The primary responsibilities are analytics product development and statistical modeling related to media effectiveness and efficiency measurement. The applications we create are critical for helping internal teams optimize media planning and buying. This role is with the Architecture & Technology, Product Team within Advanced Analytics & Insights (AAI).

Key Responsibilities
Work collaboratively within cross-functional teams to gain a deep knowledge of business goals and challenges, and then using this knowledge to design and build analytics application prototypes
Work with external analytical stakeholders (both internal media teams and external clients) to plan, analyze, and execute against client analytics roadmaps
Proof-of-concept implementation of advanced statistical modeling and machine learning algorithms
Design and build models for software application prototypes
Ability to perform analyses and tests that quantify the business value of an opportunity
Ability to contribute at every stage of analytics product and solution development; i.e., data acquisition, data pre-processing, descriptive and predictive modeling, creating insights, and automation
Qualifications
Bachelors and/or Masters in any quantitative field; 2+ years academic or industry work experience applying data science
Extensive programming experience in Python; SQL, comfortable working in both Windows and *nix environments
Strong analytical skills with solid foundation in many of the following statistics and machine learning techniques: regression analysis (continuous, categorical, survival, time-series, and count models, etc.); classification (CART, SVM, etc.), clustering (k-means, hierarchical, etc.), and other machine learning and artificial intelligence techniques; experimental design; and forecasting/sensitivity analysis
Extensive experience with statistical software packages (SAS, Stata, and/or R)
Strong business judgment
Ability to rapidly brainstorm and develop testable ideas alone or with teams
Experience developing and deploying data pipelines to support analytics applications
Ability to build solutions that integrate with Hadoop, MS SQL Server, Windows Application Server, Tableau Server, and third-party APIs

Additional Information

All your information will be kept confidential according to EEO guidelines."
71,Genpact,Data Scientist,"New York, United States","Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Information Technology
Industries
Information Technology and Services","Responsibilities: Work with stakeholders, identifying opportunities for leveraging data to
solve for business challenges.
Identify valuable data sources / data sets that can be leveraged to improve results.
Analyze data to interpret against business opportunity and Client trends and patterns.
Process, cleanse, and verify the integrity of structured / unstructured data used for analysis.
Research and implement custom statistical models and machine learning algorithms.
Execute analytical experiments methodically to evolve an idea into successful solution.
*Coordinate with engineering and software development team to integrate model into continuous business / process /software cycle.
Present information using data visualization techniques. * Communicate results and ideas to key stakeholders / decision makers.
  Qualifications:
Masters Degree in Computer Science, Statistics, Applied Math or relevant field
7+ years' practical experience as a Data Scientist with proven track record
Strong math skills (e.g. Statistics, algebra, multi-variable calculus)
Expertise with R, SQL and Python; familiarity with Scala, Java or C# is an asset
Extensive background in data mining and statistical analysis * Deep understanding of real-life applicability and limitations of machine-learning algorithms
Problem-solving aptitude
Analytical mind and business acumen
Excellent communication and presentation skills
  Skills and Experience:
Experience with B2B, Financial Industry, Asset
Management, Financial Market Data, Sales & Marketing is highly desired.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. * Knowledge and experience in statistical and data mining techniques: GLM/
Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Expertise querying Relational / No-SQL databases and using statistical programming languages like R, Python, etc. * Experience with distributed data/computing tools: Hadoop, Hive, Spark, etc.
Experience visualizing/presenting data for stakeholders using: Business Objects, Tableau, D3.js, ggplot, etc. * Experience with data-science tools: Dataiku, Jupyter, etc. * Knowledge of opensource, 3rd party, cloud based data science / NLP / machine learning platforms (e.g. AWS or Azure offerings)"
72,Fidelity Investments,Data Scientist,Greater Boston,"Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Project ManagementGeneral BusinessAnalyst
Industries
Financial Services","Job Description

At Fidelity’s Artificial Intelligence Center of Excellence (COE), you won’t be just tinkering around the edges, you’ll be building critical solutions that will benefit our clients for years to come. We work closely with business stakeholders, collect requirements and deliver high value AI/ML solutions that drive customer and business value. Those of us who love to work with data see this as the pinnacle of opportunities that you cannot find anywhere else in the industry.

These positions are all located in Boston, MA.

The Team

The AIML (Artificial Intelligence and Machine Learning) team contributes to the vitality and growth of the organization through researching and building complex, cutting edge and scalable AI algorithms, models, platforms and technologies to significantly improve customer experience and drive business results. Our team of high caliber scientists, mathematicians and statisticians use rigorous quantitative approaches to ensure that we are efficiently building algorithms and technology relevant to the business or customer experience issue at hand.

The Expertise You Have
Minimum Master’s Degree in Engineering, Computer Science, Mathematics, Computational Statistics, Operations Research, Machine Learning or related technical fields.
Advanced knowledge in model evaluation, tuning and performance, operationalization and scalability of scientific techniques and establishing decision strategies.
Hands on experience developing supervised and unsupervised machine learning algorithms (regression, decision trees/random forest, neural networks, feature selection/reduction, clustering, parameter tuning, etc.),
Experience in evaluating and making decisions around the use of new or existing tools for a project.
Experience in projects involving large scale-multi dimensional databases, complex business infrastructure, and cross-functional teams. Three to five successfully launched ML projects would be ideal.
Programming skills in Python, Spark, Scala, R or MatLab


The Skills You Bring
Your solid skills in algorithm development and predictive modeling
You have deep knowledge of some combination of the following:
Natural Language Processing (NLP)
Deep Learning, Neural Networks
Real Time Event Detection and Scoring
Time series analysis, Econometrics
Robotic Process Automation
Cloud ML


The Value You Deliver

You will partner with business stakeholders to identify/prioritize top AI opportunities, create business/technical requirements, transform large volumes of data into AI-driven solutions using creative, cutting edge open source methods/technologies, lead ML strategy and road map planning, work across teams and influence the direction of external teams. The ideal candidate will combine expert AI/ML/Open Source/Tech knowledge with hands on experience building algorithms/models/programming and outstanding business skills (revenue/cost drivers, customer experience, customer journey, communication, etc.) to manage and deliver complex/critical projects driving significant value to Fidelity.

Category

Certifications:

Business Analytics and Insights"
73,Sequoia,Data Scientists,"Virginia, MN","Seniority level
Entry level
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
Information Technology and ServicesComputer SoftwareFinancial Services","Our Current Jobs
Submit Your Resume
« Back to All Job Openings
Data Scientists

Sequoia is actively seeking experienced Data Scientists and Big Data enthusiasts. Candidates must have a passion for solving Big Data problems, as well as the technologies used in implementation. Strong analytical and problem-solving skills are highly valued.

Education & Minimum Experience
Minimum 3 years of experience
B.S. in Engineering or related field
AWS certification desirable
Knowledge, Skills, & Abilities
A strong or demonstrated understanding of all phases of big data and data scientist activities
Ability to multitask in a multi-development project environment
Demonstrated experience with massive analytics and the aspects of technical targeting
Ability to perform data analysis to inform mission organizations of data gaps, data coverage and value to analytics/targeting
Demonstrated experience Hadoop, Cloudera, MapR, CouchDB, MongoDB, RavenDB, Neo4j, Cassandra, Hbase and/or Accumulo.
Knowledge of Amazon Web Services
Excellent understanding of customer organization’s goals and objectives
Excellent communication, and interpersonal skills
Works well in a team and as a self-starter
Active leader in problem-solving and technical discussions
Willingness to learn and mentor others
Ability to communicate to both technical and non-technical personnel
Clearance: All candidates must be US Citizens and may be required to obtain and/or maintain an active TS/SCI Security Clearance

Location: Washington DC Metro Area (Northern Virginia and Maryland)"
74,Amgen,Data Scientist,"Thousand Oaks, CA","Seniority level
Not Applicable
Employment type
Full-time
Job function
Science
Industries
BiotechnologyPharmaceuticals","Amgen is committed to unlocking the potential of biology for patients suffering from serious illnesses by discovering, developing, manufacturing and delivering innovative human therapeutics. This approach begins by using tools like advanced human genetics to unravel the complexities of disease and understand the fundamentals of human biology.

Amgen focuses on areas of high unmet medical need and leverages its expertise to strive for solutions that improve health outcomes and dramatically improve people’s lives. A biotechnology pioneer since 1980, Amgen has grown to be one of the world’s leading independent biotechnology companies, has reached millions of patients around the world and is developing a pipeline of medicines with breakaway potential.

As part of the Center for Design and Analysis Data Science team, the Data Scientist, will collaborate with business partners, service owners and IS peers to develop predictive and prescriptive models and generate insights across the Clinical Development Organization. This role will help drive the development of data science capabilities across Amgen’s Clinical Development organization.

Responsibilities
Innovate and create significant business impact through the use of advanced analytics techniques to help Amgen with its mission to serve patients by helping them get the therapies they need
Collaboration with cross functional teams on projects and/or programs with aims to systematically derive insights that ultimately derive substantial business value for Amgen and our patients
Building high-performance algorithms, prototypes, predictive models and proof of concepts using R or Python
Identifying business needs and proposing potential analytics approaches for solutions
Creating prototypes and demonstrations to access and utilize data assets
Presenting analysis ideas, progress and results to leadership and business partners
Ensuring systems meet business requirements and industry best practices
Assuring compliance with regulatory, security, and privacy requirements as it relates to data assets

Basic Qualifications

Doctorate degree
OR
Master’s degree and 3 years of data science and/or data science functional leadership experience

OR
Bachelor’s degree and 5 years of data science and/or data science functional leadership experience
OR
Associate’s degree and 10 years of data science and/or data science functional leadership experience
OR
High school diploma / GED and 12 years of data science and/or data science functional leadership experience

Preferred Qualifications
Degree in Data Science, Statistics, Mathematics, Computer Science, Engineering or related field
2+ years of experience with variety of data analysis and modeling methods particularly in their application to biological systems with demonstrated mastery in the application of natural language processing (NLP)
Proficient in SQL, Python, and R
Strong statistics and programming background with proven experience delivering on data science and machine learning projects (experience with NLP)
Familiarity and background with biotechnology processes and regulatory requirements
Familiarity with DevOps and good software practices (i.e. version control, continuous integration, test driven development)
Strong communication skills and experience with client engagement
Experience engaging directly with clients (scientific/biological experience) in developing data science/machine learning or other software solutions

Join Us

If you're seeking a career where you can truly make a difference in the lives of others, a career where you can work at the absolute forefront of biotechnology with the top minds in the field, you'll find it at Amgen.

Amgen, a biotechnology pioneer, discovers, develops and delivers innovative human therapeutics. Our medicines have helped millions of patients in the fight against cancer, kidney disease, rheumatoid arthritis and other serious illnesses.

As an organization dedicated to improving the quality of life for people around the world, Amgen fosters an inclusive environment of diverse, ethical, committed and highly accomplished people who respect each other but compete intensely to win. Together, we live the Amgen values as we continue advancing science to serve patients.

Amgen is an Equal Opportunity employer and will consider all qualified applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status."
75,Instnt Inc.,Data Scientist,"New York, NY","Seniority level
Entry level
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
Marketing and AdvertisingInformation Technology and ServicesComputer Software","We are Instnt, a Public Benefit Corporation headquartered in NYC, and a one-of-a-kind collaborative effort between industry thought leaders, technology vendors, and public and private sector dedicated to solving all sides of the customer on-boarding problem. We are building a community to redefine the business models, fraud acceptance, and technology approaches with healthier alternatives. We take great pride in helping businesses sign-up more good customers. We aim to deliver frictionless and fraudless experiences that drive top-line revenue growth and reduce bottom-line costs for businesses.

We value creative teamwork, empathy and a ""hell yeah, let's do this"" approach. Come as you are and bring your magic!

Instnt is seeking a Data Scientist to join our team of innovators and engineers. This role reports directly to the Co-Founder & Chief Product Officer and works closely with Engineering. The Data Scientist will be responsible for manipulating and analyzing complex, high-dimensionality data to generate features to build models which they'll operationalize for use in our real-time Fraud Engine. The ideal candidate has extensive experience solving analytical problems and has a passion for answering complex questions using data.

Duties And Responsibilities
Develop and employ AI algorithms that can find (predictive) patterns in large multi-model data.
Design, build, train and test machine learning models.
Collaborate to generate novel features and build models that can be used in Instnt's proprietary real-time Fraud Engine.
Partner with other Data Scientists to prioritize adding new features and functionality to our data pipeline to give us new capabilities and insights.
Utilize Python, Hadoop, Pig, Spark, Luigi and other open-source big data components to find answers to analytical problems.
Document new features, models, the Data Science pipeline and any other relevant information needed for internal alignment and regulatory compliance.
Use data to fuel automation and decisions within Instnt.
Collaborate with other Instnt departments, including Engineering, Sales, and Marketing, to ensure Data Science and Product goals are aligned to the business.


Technical Skills Required
Significant experience applying statistics, probability, and machine learning to real business problems
Practical knowledge of building end-to-end ML workflows
Fluent with SQL / relational algebra
Fluent with Python, R, or Julia
Familiarity with major ML libraries such as numpy, scikit-learn, tensorflow and keras
Experience with data mining, machine learning, statistical modeling tools and underlying algorithms
Utilized tools including but not limited to, Hadoop and Spark


The Ideal Candidate Will Possess
A minimum of 4 years of industry experience working in a similar role with a comparable level of seniority and responsibility.
Bachelor's Degree in CS, Mathematics, Statistics or similar field of study or equivalent work experience. Master's Degree preferred.
Ability to explain complex ideas and algorithms in understandable ways
Experience in developing data-driven algorithms in information retrieval, relevance, or machine learning
Experience with basic engineering principles, such as system design and architecture, and tools like AWS
Huge plus if you've worked in the fraud/risk management space before!
Desire to work in a fast, high growth startup environment and thrive on autonomy


Benefits

As an employee, you will enjoy a wide range of benefits and perks including

Instnt values our employees and wants you to be healthy and happy.
Culture that values empathy, kindness, teamwork, humor, and direct honesty
Generous Equity Package
Remote Culture
Unlimited PTO
Competitive company paid Maternity / Paternity Leave Policy
Comprehensive Healthcare plan (medical, dental, & vision)
Commuter transportation reimbursement
Discounted Membership to Gyms
Supplemental Ancillary Benefits
Community Events

NO PHONE CALLS PLEASE

We are an equal opportunity employer. M/F/H/V"
76,Andiamo,Data Scientist,"New York, NY","Seniority level
Entry level
Employment type
Full-time
Job function
EngineeringInformation Technology
Industries
Information Technology and ServicesComputer SoftwareInternet","Our client is the leading freight marketplace that's transforming the $700 billion trucking industry, connecting shippers to a national network of reliable carriers. Fortune 500 companies such as Anheuser-Busch, Unilever, and Target rely on Our client to handle their most important FTL freight needs. With instant pricing tools, guaranteed capacity, data-driven insights, and reliable service, Our client is changing the world of transportation one load at a time. Come leave a positive impact on the environment as we help reduce the carbon footprint caused by the 65 billion wasted miles on the road.

Our client was named one of Forbes' ""Next Billion-Dollar Company"" in 2018.

Based in New York City, Our client is backed by top VC firms including New Enterprise Associates (NEA), Canvas Ventures, and Lerer Hippeau. The company has raised more than $78.5 million in funding.

The problems we solve everyday are real and require creativity, grit, and determination. We are building a culture that challenges norms while fostering experimentation and personal growth. We're hiring team members who are passionate and are energized by the vision to simplify and transform one of the largest and most complex industries through technology, data and a strong commitment to customers.

As a Data Scientist, you will implement machine learning models into critical business processes, forecast industry trends, and build data pipelines. The Data Science team works closely with engineers, pricing analysts, and the business intelligence team to complement qualitative knowledge of the freight industry with rigor and quantitative insights. We're currently living in AWS infrastructure including SageMaker and Redshift. You will be expected to autonomously run your own projects, drive business impact, and be a domain expert for teams across the company.

If you are excited about tackling challenges to improve the lives of truckers and shippers across the country and reinventing an industry from the inside out, send us your resume.

What You'll Do
Develop and implement pricing strategies into our automated bidding processes
Build forecasting models for freight market pricing changes using industry indicators
Collaborate with our Sales, Operations, and Tech teams to provide analytic and machine learning support
Execute long-term modeling initiatives
Drive adoption of improved, innovative technologies and tools
Act as a mentor for the data science teamHelp drive strategic data-driven analyses, insights, and report on KPIs
Partner with data engineering for system design and infrastructure
About You
You have a Bachelor's degree in a STEM or quantitative field
You love data and have at least 2+ years experience with conducting in-depth data analyses, building machine learning models, and presenting results to business stakeholders
You have a solid grasp on both theory and application, and you know how to balance methodological purity with practical implementation
You are fluent with programming languages (Python, R)
You are comfortable working in high-paced, impact-driven environments
Price optimization and financial forecasting knowledge is a plus
Andiamo is an Equal Opportunity Employer

Andiamo provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Andiamo complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

All qualified candidates are encouraged to apply by submitting their resume as an MS word document including a cover letter with a summary of relevant qualifications, highlighting clearly any special or relevant experience.

SDL2019-256"
77,NASA Jet Propulsion Laboratory,Research Data Scientist,"Pasadena, CA","Seniority level
Entry level
Employment type
Full-time
Job function
Information Technology
Industries
Aviation & AerospaceComputer SoftwareDefense & Space",Thank you for your interest in JPL! Please search our Current Openings for additional opportunities.
78,TekStream Solutions,Data Scientist,"Atlanta, GA","Seniority level
Mid-Senior level
Employment type
Full-time
Job function
ResearchStrategy/Planning
Industries
Retail","Our client, a Fortune 500 company, is seeking a Data Scientist for a full-time / permanent job opening in Atlanta. The Data Scientist is responsible for working with large datasets to extract pertinent business information using statistics, machine learning, and heuristics and developing predictive systems and algorithms for identifying trends and driving business solutions.
  Applicants must be eligible for direct-hire without visa sponsorship.  Local candidates preferred. 

Qualifications: 
Must have at least 5 years of professional relevant expeirence. 
Knowledge of a variety of machine learning techniques.
Advanced knowledge of statistical techniques and concepts and experience with applications.
Must have experience with visualizing/presenting data for stakeholders using Tableau or other similar applications.
Experience with SQL, Teradata, Google Big Query and/or other comparable database systems.
Expert knowledge of R, Python or other statistical computing programming languages.
B.S. in Computer Science, Math, Engineering or related quantitative field.  Ph.D. or Masters in Operations Research, Statistics, Economics or Computer Science reqiuired.
  For immediate consideration, email resume to mihyon.vanderveen@tekstream.com.  "
79,Planet Pharma,Scientist I,"San Francisco, CA","Seniority level
Not Applicable
Employment type
Full-time
Job function
ResearchAnalystInformation Technology
Industries
Staffing and Recruiting","Who We Are

The OMNI-Biomarker Development department provides translational science support to inform the clinical development of novel personalized therapeutics in disease areas of Ophthalmology, Metabolism, Neuroscience, Immunology and Infectious Diseases (OMNI). Our biomarker strategies are designed to study the molecular pathways driving the disease and to establish the mechanism of action of our therapeutics. At the Technology group within OMNI-BD, we design and implement mass spectrometry, flow and mass cytometry and single-cell sequencing assays to support biomarker strategies and enable our vision of “the right drug for the right patient at the right dose”.

The Position

We seek a highly motivated Associate Scientist Contactor within the OMNI Biomarker Development Technology Team to support bioinformatics and technology development efforts focusing on cytometry and single-cell sequencing methods in immunology and cancer immunotherapy. The candidate will apply bioinformatics and advanced analytics to develop pipelines for analysis of high-dimensional molecular data. The candidate will initially focus on multi-dimensional flow and mass cytometry data and expand to analysis of other molecular data, such as single cell and bulk sequencing and mass spectrometry. Successful candidate will work collaboratively on cross-functional and interdisciplinary teams of research, biomarker, bioinformatics and biostatistics scientists and has great technical and communications skills.

As an Associate Scientist in this position you are expected to:
Evaluate new molecular profiling technologies and enable integration of these technologies and novel biomarkers in clinical studies
Analyze multidimensional molecular data including flow and mass cytometry and single cell sequencing and develop best practices, guidelines and pipelines for analysis of cytometry data
Engage with stakeholders and collaborators in cross-functional teams to deliver results and contribute to publication efforts in scientific journals
Participate and thrive in a interactive and team-oriented culture


Who You Are
PhD degree in a relevant scientific field (e.g., biomedical engineering, computational biology, bioinformatics, biostats, immunology, molecular biology, or other related fields). Postdoctoral experience is preferred.
Strong bioinformatics programming skills using R/Bioconductor and/or Python
Experience analyzing and interpreting high-dimensional molecular data, especially flow and mass cytometry using open source Bioconductor packages. Experience with NGS and single cell RNA-seq and BCR/TCR sequencing data is highly desired.
Deep understanding of unbiased data analysis tools, such as clustering, and dimensionality reduction. Experience with machine learning methods is desired.
Proven record of delivering results and leadership (e.g. publications or open-source tools)
Great presentation and communication skills

The Planet Group of Companies is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees."
